"k","year","month","Yhat","Lower95","Upper95"
1,2011,1,101.278181545036,65.8038881431382,155.876352393606
2,2011,2,147.225533710034,92.8226690771253,233.513623252897
3,2011,3,156.922581165786,98.5234392946018,249.937442866775
4,2011,4,142.550056474597,89.4459162013764,227.182184093924
5,2011,5,355.309819685955,222.92700081635,566.306761868062
6,2011,6,538.019562386252,337.557756910232,857.527470735245
7,2011,7,611.205499485654,383.474503225988,974.177316767668
8,2011,8,631.893192735343,396.453999710953,1007.15091111801
9,2011,9,630.10995325248,395.335168473688,1004.30871030455
10,2011,10,508.156842170055,318.820975100986,809.932207761582
11,2011,11,375.012505350133,235.285334398392,597.718423583756
12,2011,12,280.490109806971,175.981356174422,447.062708287969
